163.9019408539517; 50.813205246291716, 125.39165149269272; 108.26385191873797, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 148.53470420213532; 123.91775044115066, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 94.81186896203879; 107.97864858675264, 103.85330779263336; 11.563587302590971, 70.79032212799467; 124.33562553220528, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 103.60296720441804; 83.65639863553191, 93.90462123567713; 124.43325879357766, 61.27365811664936; 95.00860571713564, 128.67184553446504; 33.37554763974347, 11.927225689933021; 69.81810409288758, 132.96885675736857; 11.282204305506342, 
163.9019408539517; 50.813205246291716, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 148.53470420213532; 123.91775044115066, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 94.81186896203879; 107.97864858675264, 103.85330779263336; 11.563587302590971, 70.79032212799467; 124.33562553220528, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 103.60296720441804; 83.65639863553191, 93.90462123567713; 124.43325879357766, 61.27365811664936; 95.00860571713564, 128.67184553446504; 33.37554763974347, 11.927225689933021; 69.81810409288758, 132.96885675736857; 11.282204305506342, 114.66074287195093; 112.28915220009732, 
163.9019408539517; 50.813205246291716, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 148.53470420213532; 123.91775044115066, 13.113531499413615; 48.528107247689064, 15.97758788558972; 124.68987335481003, 94.81186896203879; 107.97864858675264, 103.85330779263336; 11.563587302590971, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 103.60296720441804; 83.65639863553191, 93.90462123567713; 124.43325879357766, 61.27365811664936; 95.00860571713564, 128.67184553446504; 33.37554763974347, 11.927225689933021; 69.81810409288758, 132.96885675736857; 11.282204305506342, 114.66074287195093; 112.28915220009732, 70.09491949079757; 118.36549182999546, 
163.9019408539517; 50.813205246291716, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 148.53470420213532; 123.91775044115066, 15.97758788558972; 124.68987335481003, 94.81186896203879; 107.97864858675264, 103.85330779263336; 11.563587302590971, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 103.60296720441804; 83.65639863553191, 93.90462123567713; 124.43325879357766, 61.27365811664936; 95.00860571713564, 128.67184553446504; 33.37554763974347, 11.927225689933021; 69.81810409288758, 132.96885675736857; 11.282204305506342, 114.66074287195093; 112.28915220009732, 70.09491949079757; 118.36549182999546, 78.08645747120676; 36.11783021998144, 
163.9019408539517; 50.813205246291716, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 148.53470420213532; 123.91775044115066, 15.97758788558972; 124.68987335481003, 94.81186896203879; 107.97864858675264, 103.85330779263336; 11.563587302590971, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 103.60296720441804; 83.65639863553191, 61.27365811664936; 95.00860571713564, 128.67184553446504; 33.37554763974347, 11.927225689933021; 69.81810409288758, 132.96885675736857; 11.282204305506342, 114.66074287195093; 112.28915220009732, 70.09491949079757; 118.36549182999546, 78.08645747120676; 36.11783021998144, 151.6965096849358; 9.954357049631565, 
163.9019408539517; 50.813205246291716, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 148.53470420213532; 123.91775044115066, 15.97758788558972; 124.68987335481003, 103.85330779263336; 11.563587302590971, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 103.60296720441804; 83.65639863553191, 61.27365811664936; 95.00860571713564, 128.67184553446504; 33.37554763974347, 11.927225689933021; 69.81810409288758, 132.96885675736857; 11.282204305506342, 114.66074287195093; 112.28915220009732, 70.09491949079757; 118.36549182999546, 78.08645747120676; 36.11783021998144, 151.6965096849358; 9.954357049631565, 16.57695314131832; 39.04656334339194, 
163.9019408539517; 50.813205246291716, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 148.53470420213532; 123.91775044115066, 15.97758788558972; 124.68987335481003, 103.85330779263336; 11.563587302590971, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 61.27365811664936; 95.00860571713564, 128.67184553446504; 33.37554763974347, 11.927225689933021; 69.81810409288758, 132.96885675736857; 11.282204305506342, 114.66074287195093; 112.28915220009732, 70.09491949079757; 118.36549182999546, 78.08645747120676; 36.11783021998144, 151.6965096849358; 9.954357049631565, 16.57695314131832; 39.04656334339194, 95.24152832356836; 143.5387716793223, 
163.9019408539517; 50.813205246291716, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 148.53470420213532; 123.91775044115066, 15.97758788558972; 124.68987335481003, 103.85330779263336; 11.563587302590971, 149.29133788791037; 42.34327213748425, 12.31294300446665; 88.75214768950083, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 61.27365811664936; 95.00860571713564, 128.67184553446504; 33.37554763974347, 132.96885675736857; 11.282204305506342, 114.66074287195093; 112.28915220009732, 70.09491949079757; 118.36549182999546, 78.08645747120676; 36.11783021998144, 151.6965096849358; 9.954357049631565, 16.57695314131832; 39.04656334339194, 95.24152832356836; 143.5387716793223, 52.06704781193345; 43.11949880496328, 
163.9019408539517; 50.813205246291716, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 148.53470420213532; 123.91775044115066, 15.97758788558972; 124.68987335481003, 103.85330779263336; 11.563587302590971, 12.31294300446665; 88.75214768950083, 107.02101525734996; 38.251940335101075, 31.872274541391956; 94.40158081782519, 61.27365811664936; 95.00860571713564, 128.67184553446504; 33.37554763974347, 132.96885675736857; 11.282204305506342, 114.66074287195093; 112.28915220009732, 70.09491949079757; 118.36549182999546, 78.08645747120676; 36.11783021998144, 151.6965096849358; 9.954357049631565, 16.57695314131832; 39.04656334339194, 95.24152832356836; 143.5387716793223, 52.06704781193345; 43.11949880496328, 41.353992078089746; 152.5490469837693, 
163.9019408539517; 50.813205246291716, 67.3633206623009; 137.26525366385638, 76.19340230635551; 72.70077377818262, 148.53470420213532; 123.91775044115066, 15.97758788558972; 124.68987335481003, 103.85330779263336; 11.563587302590971, 12.31294300446665; 88.75214768950083, 31.872274541391956; 94.40158081782519, 61.27365811664936; 95.00860571713564, 128.67184553446504; 33.37554763974347, 132.96885675736857; 11.282204305506342, 114.66074287195093; 112.28915220009732, 70.09491949079757; 118.36549182999546, 78.08645747120676; 36.11783021998144, 151.6965096849358; 9.954357049631565, 16.57695314131832; 39.04656334339194, 95.24152832356836; 143.5387716793223, 52.06704781193345; 43.11949880496328, 41.353992078089746; 152.5490469837693, 83.8001132266123; 22.89792667995881, 
